Entrez Gene ID,Symbol
50518,a
11287,Pzp
11350,Abl1
11352,Abl2
11354,Scgb1b27
233099,Scgb2b27
110187,Scgb2b26
11363,Acadl
11364,Acadm
11409,Acads
110446,Acat1
110460,Acat2
497652,Acd
11421,Ace
11423,Ache
11425,Apoc4
11428,Aco1
11429,Aco2
11431,Acp1
11432,Acp2
11433,Acp5
11434,Acr
11435,Chrna1
110902,Chrna2
110834,Chrna3
11438,Chrna4
110835,Chrna5
11443,Chrnb1
11444,Chrnb2
108015,Chrnb4
11447,Chrnd
11448,Chrne
11449,Chrng
11459,Acta1
11461,Actb
11464,Actc1
11465,Actg1
621269,Actg-ps1
11475,Acta2
11477,Acvr1
11481,Acvr2b
109652,Acy1
11484,Aspa
11486,Ada
11512,Adcy6
11518,Add1
11519,Add2
11520,Plin2
11522,Adh1
11529,Adh7
11532,Adh5
11534,Adk
11537,Cfd
11551,Adra2a
11552,Adra2b
11553,Adra2c
11554,Adrb1
11555,Adrb2
11556,Adrb3
110355,Grk2
320129,Grk3
11565,Adssl1
11566,Adss
11576,Afp
11603,Agrn
11606,Agt
11607,Agtr1a
11608,Agtr1b
11609,Agtr2
269378,Ahcy
52906,Ahi1
11636,Ak1
11637,Ak2
11639,Ak4
208256,Akp-ps1
11647,Alpl
11648,Akp3
11651,Akt1
11655,Alas1
11656,Alas2
11657,Alb
11674,Aldoa
230163,Aldob
11687,Alox15
11684,Alox12
11689,Alox5
11699,Ambp
11702,Amd1
11704,Amelx
11705,Amh
229665,Ampd1
109674,Ampd2
11720,Mat1a
11722,Amy1
109959,Amy2a5
11727,Ang
11733,Ank1
109676,Ank2
11735,Ank3
11746,Anxa4
11750,Anxa7
11757,Prdx3
11761,Aox1
11770,Fabp4
11789,Apc
235606,Apeh
11792,Apex1
11803,Aplp1
11804,Aplp2
11806,Apoa1
11807,Apoa2
11808,Apoa4
238055,Apob
11812,Apoc1
11813,Apoc2
11814,Apoc3
11815,Apod
11816,Apoe
11818,Apoh
11820,App
11821,Aprt
621377,Aprt-ps
11835,Ar
11836,Araf
11838,Arc
11839,Areg
11846,Arg1
11863,Arnt
11881,Arsb
11883,Arsa
11889,Asgr1
11890,Asgr2
109900,Asl
100417301,Ass-ps1
11898,Ass1
11905,Serpinc1
11911,Atf4
11928,Atp1a1
98660,Atp1a2
232975,Atp1a3
11931,Atp1b1
11932,Atp1b2
11938,Atp2a2
381290,Atp2b4
11944,Atp4a
11945,Atp4b
11946,Atp5a1
11984,Atp6v0c
11987,Slc7a1
11998,Avp
12000,Avpr2
12010,B2m
193736,Zbtb12
21784,Tff1
12040,Bckdhb
12043,Bcl2
12048,Bcl2l1
12051,Bcl3
110279,Bcr
12061,Bdkrb1
12064,Bdnf
12091,Glb1
12095,Bglap3
12096,Bglap
12097,Bglap2
12111,Bgn
12143,Blk
109778,Blvra
12151,Bmi1
110173,Manba
12153,Bmp1
12156,Bmp2
111237,Bmp4-ps
110075,Bmp3
12159,Bmp4
12160,Bmp5
12161,Bmp6
107771,Bmyc
109880,Braf
20586,Smarca4
12215,Bsg
12226,Btg1
12229,Btk
12238,Commd3
12257,Tspo
12259,C1qa
12260,C1qb
12262,C1qc
12263,C2
12266,C3
12268,C4b
12269,C4bp
12273,C5ar1
12274,C6
109828,C7
110382,C8b
69379,C8g
20201,S100a8
12306,Anxa2
12307,Calb1
109624,Cald1
12313,Calm1
12317,Calr
12319,Car8
11749,Anxa6
12322,Camk2a
12323,Camk2b
12326,Camk4
12325,Camk2g
12330,Canx
12331,Cap1
12333,Capn1
12334,Capn2
12336,Capns1
12346,Car1
12349,Car2
12350,Car3
12359,Cat
12385,Ctnna1
12386,Ctnna2
12387,Ctnnb1
12401,Serpina6
12402,Cbl
12404,Cbln1
12405,Cbln2
12406,Serpinh1
12408,Cbr1
12411,Cbs
12416,Cbx2
12289,Cacna1d
12292,Cacna1s
12293,Cacna2d1
12287,Cacna1b
12424,Cck
268697,Ccnb1
12442,Ccnb2
12443,Ccnd1
12444,Ccnd2
12445,Ccnd3
12447,Ccne1
12475,Cd14
12478,Cd19
12481,Cd2
12482,Ms4a1
12483,Cd22
12484,Cd24a
21940,Cd27
12487,Cd28
21949,Tnfsf8
12490,Cd34
12493,Cd37
12500,Cd3d
12501,Cd3e
12502,Cd3g
12503,Cd247
12504,Cd4
21939,Cd40
21947,Cd40lg
12505,Cd44
12506,Cd48
12507,Cd5
12508,Cd53
12514,Cd68
12515,Cd69
12516,Cd7
12517,Cd72
12525,Cd8a
12526,Cd8b1
12527,Cd9
12532,Cdc25c
12534,Cdk1
12537,Cdk11b
12550,Cdh1
12558,Cdh2
12560,Cdh3
12567,Cdk4
631990,Cdr1
12590,Cdx1
12591,Cdx2
12592,Cdx4
12608,Cebpb
12613,Cel
12615,Cenpa
12616,Cenpb
12623,Ces1g
14060,F13b
14061,F2
14066,F3
14067,F5
14069,F8
14071,F9
12628,Cfh
12638,Cftr
12640,Cga
12647,Chat
12648,Chd1
12652,Chga
12653,Chgb
12669,Chrm1
243764,Chrm2
12671,Chrm3
12672,Chrm4
12677,Vsx2
12706,Ckb-ps2
12708,Ck-ps3
12709,Ckb
12715,Ckm
12723,Clcn1
109791,Clps
12759,Clu
545055,Cma2
12785,Cnbp
12788,Cnga1
12799,Cnp
12803,Cntf
12813,Col10a1
12814,Col11a1
12815,Col11a2
12816,Col12a1
12819,Col15a1
12821,Col17a1
12822,Col18a1
12824,Col2a1
12825,Col3a1
12826,Col4a1
12827,Col4a2
12830,Col4a5
12831,Col5a1
12832,Col5a2
12833,Col6a1
12834,Col6a2
12835,Col6a3
12836,Col7a1
12837,Col8a1
329941,Col8a2
12839,Col9a1
12840,Col9a2
12842,Col1a1
12843,Col1a2
12845,Comp
12846,Comt
12857,Cox4i1
12858,Cox5a
12859,Cox5b
12870,Cp
109697,Cpa1
12873,Cpa3
242939,Cpz
12902,Cr2
12903,Crabp1
12904,Crabp2
17174,Masp1
12912,Creb1
12916,Crem
12918,Crh
12919,Crhbp
12921,Crhr1
12925,Crip1
12928,Crk
12944,Crp
12946,Cr1l
101056221,Crry-ps
12954,Cryaa
12955,Cryab
12957,Cryba1
12961,Crybb2
12964,Cryga
12965,Crygb
12966,Crygc
12967,Crygd
12968,Cryge
12969,Crygf
12972,Cryz
12974,Cs
12988,Csk
12990,Csn1s1
12991,Csn2
12993,Csn1s2a
12995,Csnk2a1
667125,Csnk2a1-ps1
668993,Csnk2a1-ps
13000,Csnk2a2
13001,Csnk2b
13007,Csrp1
13024,Ctla2a
13025,Ctla2b
12477,Ctla4
13026,Pcyt1a
109660,Ctrl
66473,Ctrb1
13030,Ctsb
13033,Ctsd
13035,Ctsg
13039,Ctsl
330695,Ctxn1
13047,Cux1
13058,Cybb
13063,Cycs
13067,Cyct
13070,Cyp11a1
110115,Cyp11b1
13072,Cyp11b2
13074,Cyp17a1
13075,Cyp19a1
13076,Cyp1a1
13077,Cyp1a2
13078,Cyp1b1
13079,Cyp21a1
13081,Cyp24a1
104086,Cyp27a1
13086,Cyp2a4
13087,Cyp2a5
13088,Cyp2b10
13089,Cyp2b13
13094,Cyp2b9
13101,Cyp2d10
545123,Cyp2d11
380997,Cyp2d12
68444,Cyp2d13
13105,Cyp2d9
13106,Cyp2e1
13107,Cyp2f2
13112,Cyp3a11
13113,Cyp3a13
13117,Cyp4a10
277753,Cyp4a12a
16007,Ccn1
28193,Reep3
28194,Apon
28199,Dcaf11
28200,Dhrs4
114585,D17H6S53E
22321,Vars
27756,Lsm2
110957,D1Pas1
98193,Dcaf8
229663,Csde1
28146,Serp1
68465,Adipor2
434215,Lrrc32
110959,Nudt19
102644,Oaf
13142,Dao
19049,Ppp1r1b
13162,Slc6a3
13166,Dbh
13167,Dbi
13170,Dbp
13172,Dbx1
13176,Dcc
13177,Eci1
13179,Dcn
13180,Pcbd1
13195,Ddc
13218,Defa29
100294660,Defa2
13237,Defa3
13346,Des
13361,Dhfr
13363,Dhh
109754,Cyb5r3
13370,Dio1
13386,Dlk1
13390,Dlx1
13392,Dlx2
13393,Dlx3
13394,Dlx4
13400,Dmpk
13401,Dmwd
13405,Dmd
13406,Dmp1
13433,Dnmt1
13479,Dpep1
13482,Dpp4
13483,Dpp6
13489,Drd2
13490,Drd3
13491,Drd4
13492,Drd5
13510,Dsg1a
13542,Dvl1
214601,Slc10a3
27643,Ubl4a
13591,Ebf1
13841,Epha7
13836,Epha2
13605,Ect2
13614,Edn1
13615,Edn2
13616,Edn3
13626,Eed
13629,Eef2
13645,Egf
13646,Klk1b22
13648,Klk1b9
13649,Egfr
13653,Egr1
13654,Egr2
13664,Eif1a
13665,Eif2s1
13667,Eif2b4
13669,Eif3a
13681,Eif4a1
75705,Eif4b
13684,Eif4e
217869,Eif5
109901,Cela1
13706,Cela2a
13717,Eln
13723,Emb
13796,Emx1
13797,Emx2
13798,En1
13799,En2
13805,Eng
13806,Eno1
13807,Eno2
13808,Eno3
269587,Epb41
13828,Epb42
13830,Stom
13849,Ephx1
13856,Epo
13857,Epor
13866,Erbb2
13867,Erbb3
13870,Ercc1
13871,Ercc2
13872,Ercc3
13876,Erg
13884,Ces1c
13885,Esd
13897,Ces1e
13990,Smarcad1
208618,Etl4
23871,Ets1
23872,Ets2
14013,Mecom
14017,Evi2a
225207,Zfp521
14028,Evx1
14029,Evx2
14070,F8a
14077,Fabp3
14079,Fabp2
14080,Fabp1
14088,Fancc
14083,Ptk2
14085,Fah
14102,Fas
14104,Fasn
14113,Fbl
14114,Fbln1
14115,Fbln2
14118,Fbn1
14119,Fbn2
14120,Fbp2
14121,Fbp1
14125,Fcer1a
14126,Ms4a2
14127,Fcer1g
14128,Fcer2a
14129,Fcgr1
14130,Fcgr2b
14131,Fcgr3
14151,Fech
14159,Fes
14164,Fgf1
14173,Fgf2
14174,Fgf3
14175,Fgf4
14176,Fgf5
14177,Fgf6
